DO-01,"Operations Plan","Preparation and Maintenance of Documentation","The organization develops and implements a PCI operations plan  according to the template in Appendix D. The operations plan  references other documents as needed. 
","SP 800-79-1, Section 2.11 – Accreditation Package and Supporting Documentation
"
DO-02,"Enrollment / Identity Proofing Policy and Procedures","Preparation and Maintenance of Documentation","The organization has a written policy and procedures for  enrollment/identity proofing that are approved by the head of the  organization. 
","FIPS 201-1, Section 2.2 – PIV  Identity Proofing and  Registration Requirements
"
DO-03,"Issuance Policy and Procedures","Preparation and Maintenance of Documentation","The organization has a written policy and procedures for issuance  that are approved by the head of the organization. 
","FIPS 201-1, Section 2.3  –  PIV Issuance and Maintenance Requirements 
"
DO-04,"Renewal Policy and Procedures","Preparation and Maintenance of Documentation","The organization has a written policy and procedures describing  the conditions for PIV Card renewal that are approved by the  head of the organization. 
","FIPS 201-1, Section 5.3.2.1  –  PIV Card Renewal 
"
DO-05,"Termination Policy and Procedures","Preparation and Maintenance of Documentation","The organization has a written policy and procedures describing  the conditions for PIV Card termination that are approved by the  head of the organization. 
","FIPS 201-1 Section 5.3.2.4  –  PIV Card Termination 
"
DO-06,"Re-Issuance Policy and Procedures","Preparation and Maintenance of Documentation","The organization has a written policy and procedures describing  the conditions for PIV Card re-issuance that are approved by the  head of the organization. 
","FIPS 201-1 Section 5.3.2.2  –  PIV Card Reissuance 
"
DO-07,"Temporary Badge Policy and Procedures","Preparation and Maintenance of Documentation","In cases where a PIV Card is not required, such as temporary  employees and contractors employed for less than 6 months and  visitors, the organization has a written policy and procedures  describing the conditions for temporary badges. 
","OMB Memorandum 05-24 
"
RR-01,"Senior Authorizing Official","Assignment of Roles and Responsibilities","The organization has appointed the role of Senior Authorizing  Official (SAO). 
","SP 800-79-1, Section 2.6 – Roles and Responsibilities 
"
RR-02,"Designated Accreditation Authority","Assignment of Roles and Responsibilities","The organization has appointed the role of Designated  Accreditation Authority (DAA).
","SP 800-79-1, Section 2.6 – Roles and Responsibilities 
"
RR-03,"Organization Identity Management Official","Assignment of Roles and Responsibilities","The organization has appointed the role of Organization Identity  Management Official (OIMO).
","SP 800-79-1, Section 2.6 – Roles and Responsibilities 
"
RR-04,Assessor,"Assignment of Roles and Responsibilities","The organization has appointed the role of Assessor. 
","SP 800-79-1, Section 2.6 – Roles and Responsibilities 
"
RR-05,"Privacy Official","Assignment of Roles and Responsibilities","The organization has appointed the role of Privacy Official (PO). 
","SP 800-79-1, Section 2.6 – Roles and Responsibilities 
"
RR-06,"Separation of Duties","Assignment of Roles and Responsibilities","The PCI Facility employs processes which adhere to the principle  of separation of duties to ensure that no single individual has the  capability to issue a PIV Card without the cooperation of another  authorized person. 
","FIPS 201-1, Section 5.2 – PIV Identity Proofing and Registration 
"
FP-01,"Minimum Physical Controls","Facility and Personnel Readiness","Minimum physical controls at the PCI Facility are implemented.  These include: (i) use of locked rooms, safes, and cabinets (as  appropriate); (ii) physical access to key areas within the facility is  restricted to authorized personnel, (iii) security monitoring and  automated alarms are implemented, (iv) emergency power and  lighting are available, and (v) fire prevention and protection  mechanisms are implemented. 
","Commonly accepted security readiness measures 
"
FP-02,"Documentation Maintenance","Facility and Personnel Readiness","PCI Documentation (e.g., operations plan, standard operating  procedures, and contracts) are maintained at each PCI Facility. 
","Commonly accepted security readiness measures 
"
FP-03,"Contingency / Disaster Recovery Plan Security","Facility and Personnel Readiness","The PCIF Manager(s) has a copy of the contingency/disaster  recovery plan for the information systems, which is stored  securely. 
","Commonly accepted security readiness measures 
"
FP-04,"System Development Life Cycle","Facility and Personnel Readiness","The information systems are managed using a system  development life cycle (SDLC) methodology that includes  information security considerations 
","Commonly accepted security readiness measures 
"
FP-05,"Workstation Privacy","Facility and Personnel Readiness","Enrollment/identity proofing and card activation/issuance  workstations are situated in an enclosed area (wall or partition) to  provide privacy for an applicant or card holder.  
","Commonly accepted security readiness measures 
"
FP-06,"Operator Authentication","Facility and Personnel Readiness","All operators who perform roles within a PCI Facility in the areas  of enrollment/ identity proofing or card activation/issuance are  allowed access to information systems only when authenticated  through a PIV Card.  
","Commonly accepted security readiness measures 
"
FP-07,"Operator Training","Facility and Personnel Readiness","All operators who perform roles within a PCI Facility in the areas  of enrollment/ identity proofing, adjudication and card  activation/issuance have undergone training that is specific to  their duties prior to being allowed to perform in that function.  
","Commonly accepted security readiness measures 
"
FP-08,"Card Stock","Facility and Personnel Readiness","All pre-personalized and personalized smart card stock received  from card vendors and card production facilities are received only  by authorized personnel who ensure that the card stock is stored  securely in the PCI Facility.   
","Commonly accepted security readiness measures 
"
FP-09,"PCIF Points of Contact","Facility and Personnel Readiness","The organization maintains a current list of designated points of  contact and alternate points of contact for all PCIFs used by the  organization for enrollment/identity proofing and card  activation/issuance.  
","Commonly accepted security readiness measures 
"
ST-01,"PII Handling","Protection of Stored and Transmitted Data","The PCI information systems that contain information in  identifiable form are handled in compliance with Federal laws and  policies, including the Privacy Act of 1974.
","FIPS 201-1, Section 2.4 - PIV Privacy Requirements 
"
ST-02,"Transmission Integrity and Confidentiality","Protection of Stored and Transmitted Data","The information systems protect the integrity and confidentiality of  transmitted information. 
","FIPS 201-1, Section 2.4 - PIV Privacy Requirements 
"
PR-01,"Privacy Policy Procedures","Enforcement of Privacy Requirements","Privacy act statement/notice, complaint procedures, appeals  procedures for those denied identification or whose identification  cards are revoked, and sanctions for employees violating privacy  policies shall be developed and posted by the organization in  multiple locations at the PCI facility (e.g., internet site, human  resource offices, regional offices, and contractor orientation  handouts). 
","OMB Memorandum 05-24 
"
PR-02,"Privacy Impact Assessment","Enforcement of Privacy Requirements","The organization has conducted a Privacy Impact Assessment of  their PCI information system (s), compliant with Section 208 of  the E-Government Act of 2002 and based on guidance found in  Appendix E of OMB Memorandum 06-06. 
","OMB Memorandum 05-24 
"
PR-03,"Systems of Records Notices","Enforcement of Privacy Requirements","The organization’s employee and contractor identification  systems of records notices (SORN’s) are updated to reflect any  changes in the disclosure of information to other organizations in  order to be consistent with the Privacy Act of 1974 and OMB  Circular A-130, Appendix 1. 
","OMB Memorandum 05-24 
"
PR-04,"Applicant Notification","Enforcement of Privacy Requirements","The applicant is notified of what information in identifiable form is  collected, how it will be used, what information will be disclosed  and to whom, and what protections are provided to ensure the  security of this information.
","FIPS 201-1, Section 2.4 – PIV Privacy Requirements 
"
PR-05,"Continuous Auditing of Privacy Policies and Practices","Enforcement of Privacy Requirements","The PCI Facility employs technologies that allow for continuous  auditing of compliance with privacy policies and practices. 
","FIPS 201-1, Section 2.4 – PIV Privacy Requirements 
"
PR-06,"PII Disposal","Enforcement of Privacy Requirements","In the case of termination, any personally identifiable information   that has been collected from the cardholder is disposed of in  accordance with the stated privacy and data retention policies. 
","FIPS 201-1, Section 5.3.2.4 – PIV Card Termination 
"
DP-01,"PCI System Authorization","Deployed Products & Information Systems","In order to be compliant with the provisions of OMB Circular A- 130, App III, the PCI information system(s) are certified in  accordance with NIST SP 800-37, Guide for the Security  Certification and Accreditation of Federal Information Systems.
","FIPS 201-1, Appendix B.2 – Security Certification and Accreditation of IT System(s) 
"
DP-02,"Use of Approved Products","Deployed Products & Information Systems","Every product utilized by a PCI facility that it falls within one of the  categories listed by the GSA FIPS 201 Evaluation program,  shall be listed in the GSA FIPS 201 Evaluation Program’s  Approved Product List (APL)  
","OMB Memorandum 05-24 
"
DP-03,"PIV Card Testing and Approval","Deployed Products & Information Systems","The organization has submitted a personalized PIV Card from  their production system to GSA for testing, and it has been  approved. 
","OMB Memorandum 05-24 
"
CI-01,"Legacy PKI Cross-Certification","Implementation of Credentialing Infrastructures","For legacy Public Key Infrastructures (PKI’s), the organization’s  CA shall be cross-certified with the Federal Bridge (FBCA) at a  Medium-HW or High Assurance Level. 
","FIPS 201-1, Section 5.4.4 – Migration from Legacy PKIs 
"
CI-02,"Federal PKI Common Policy","Implementation of Credentialing Infrastructures","For non-legacy PKI’s, the CA that issues certificates to support  PIV Card authentication participates in the hierarchical PKI for the 
","FIPS 201-1, Section 5.4.1 – Architecture 
"
CI-03,"Card Management Keys","Implementation of Credentialing Infrastructures","When cards are personalized, card management keys are set to  be specific to each PIV Card. That is, each PIV Card shall contain  a unique card management key. 
","FIPS 201-1, Section 4.1.6.2 – Activation by Card Management System 
"
CI-04,"Fingerprint Image Format","Implementation of Credentialing Infrastructures","Fingerprint images retained by organizations shall be formatted  according to SP 800-76-1. 
","SP 800-76-1, Section 3.4 – Fingerprint Template Specifications 
"
CI-05,"Facial Image Format","Implementation of Credentialing Infrastructures","Facial images collected during enrollment/identity proofing are  formatted such that they conform to SP 800-76-1. 
","SP 800-76-1, Section 5.2 – Acquisition and Format 
"
CI-06,"Fingerprint Templates","Implementation of Credentialing Infrastructures","The fingerprint templates stored on the PIV Card are prepared  from images of the primary and secondary fingers where the  choice of fingers is based on the order of priority, as provided in  FIPS 201-1, Section 4.4.1.   
","SP 800-76-1, Section 3.4.1 – Source Images 
"
SP-01,"Issuance Requests","Sponsorship Process","A request is created in order to issue a PIV Card.
","FIPS 201-1, Section 2.1 – Control Objectives 
"
